12 Retech Corp, E-motion
AAC Holdings Inc, AdCare Inc
ACORN ENERGY INC, Danbel Holdings Ltd
ACORN ENERGY INC, M.N. Wasserman Ltd
AES CORP, SMC Global Power Holdings Corp
AGENUS INC,
ALBIREO PHARMA INC,Terramar Retail Centers LLC
AMBASE CORP, Maria USA Inc
AMERICAN WOODMARK CORP, RSI Alliance Merger Sub Inc
AMERISOURCEBERGEN CORP, H.D. Smith Holding Company
AMYRIS INC, DSM Produtos Nutricionais Brasil S.A.
ANI PHARMACEUTICALS INC
APPLIED INDUSTRIAL TECHNOLOGIES INC, FCX Performance Inc
ASSOCIATED BANC CORP,
AVADEL PHARMACEUTICALS PLC,
Accenture Holdings plc,
Actua Corp, Envestnet Inc
Alexander Baldwin Inc, Terramar Retail Centers LLC
Alon USA Partners LP,
Alphatec Holdings Inc,
Alta Mesa Holdings LP, Texas Petroleum Investment Company
Amplify Snack Brands INC, American Stock Transfer & Trust Company LLC
Apptio Inc, Digital Fuel SV LLC
Aramark, AmeriPride Services Inc
BANK MUTUAL CORP,
BARNWELL INDUSTRIES INC, Mount Bastion Oil & Gas Corp
BARRACUDA NETWORKS INC,
BEACON ROOFING SUPPLY INC, Allied
BILL BARRETT CORP, HighPoint
BILL BARRETT CORP, Fifth Creek Energy Company LLC
BILL BARRETT CORP, Rio Merger Sub LLC
BILL BARRETT CORP, Rider Merger Sub Inc
BIOHITECH GLOBAL INC,
BOB EVANS FARMS INC, 
BROADSOFT INC,
BROOKLINE BANCORP INC, First Commons Bank N.A.
BUFFALO WILD WINGS INC, BWW
BUFFALO WILD WINGS INC, Arbys Restaurant Group, Inc
Bazaarvoice Inc,
BioPharmX Corp,
Biohaven Pharmaceutical Holding Co Ltd,
Biotech Products Services Research Inc,
Bioverativ Inc,
Blackstone Real Estate Income Trust Inc, Cabot Industrial Value Fund IV L.P.
BlueLinx Holdings Inc, Brennan Investment Group
Boston Therapeutics Inc,
Bravatek Solutions Inc, the Share Consideration
Business First Bancshares Inc, Minden Bancorp Inc
CABOT OIL GAS CORP, VOG Palo Verde LP
CALGON CARBON Corp,
CALPINE CORP,
CAMBER ENERGY INC, Louise H. Rogers
CAMPBELL SOUP CO, Snyder's-Lance Inc
CARLISLE COMPANIES INC, CFSP Acquisition Corp
CARRIZO OIL GAS INC, P Energy E&P Company L.P.
CASI Pharmaceuticals Inc, Sandoz
CELGENE CORP DE, Juno Therapeutics Inc
CEMTREX INC,
CHASE CORP,
CHOICE HOTELS INTERNATIONAL INC DE,  WoodSpring Hotels LLC and WSFS
CHURCHILL DOWNS Inc,
CLEAN HARBORS INC, Veolia Environmental Services North America LLC
CNL Healthcare Properties II Inc, MidAmerica Surgery Institute Properties II LLC
CNX Midstream Partners LP, CNX Gathering LLC
CNX Resources Corp, CONE Gathering LLC
COCONNECT INC, CoConnect Pursuant
CODE GREEN APPAREL CORP, Designer Apparel Group LLC 
COMMUNITY FINANCIAL CORP MD, County First Bank
COMMUNITY FIRST INC, Reliant Bank
COMPUTER TASK GROUP INC,
CONCURRENT COMPUTER CORP DE, Vecima Networks Inc
CORE MOLDING TECHNOLOGIES INC,
COTT CORP CN,
CRAFT BREW ALLIANCE INC, Sound Commercial Investment Holdings LLC
CRANE CO DE, Crane & Co Inc
CX Network Group Inc,
CalAtlantic Group Inc, Lennar Corporation
Carbonite Inc, EMC Corporation
Carbonite Inc, Mozy Inc
Carbonite Inc, Dell Technologies Inc
Carey Watermark Investors Inc,
Cascadian Therapeutics Inc,
CenterState Bank Corp, HCBF Holding Company Inc
Cerecor Inc,
Clean Energy Fuels Corp, Landi Renzo S.p.A.
Clearfield Inc, Calix Inc
Coeur Mining Inc, Ag-Mining Investments AB
Cogint Inc, Red Violet Inc
Colony NorthStar Credit Real Estate Inc, NorthStar I
Colony NorthStar Credit Real Estate Inc, NorthStar II
Colony NorthStar Inc, Aon plc
ConvergeOne Holdings Inc,
Crypto Co, CoinTracking LLC
Crypto Co, Kachel Holding GmbH
Crypto Co, Dario Kachel
Crystal Rock Holdings Inc,
DATAWATCH CORP,
DELTIC TIMBER CORP,
DEXTERA SURGICAL INC, Aesculap Inc
DLT Resolution Inc, 
DPL INC, Kimura Power LLC
DPW Holdings Inc,
DanDrit Biotech USA Inc,
Delek Logistics Partners LP,
Delek US Holdings Inc,
Discovery Inc, Scripps Networks Interactive Inc
Discovery Inc, Skylight Merger Sub Inc
DropCar Inc, WPCS International Incorporated
ENERGY RESOURCES 12 L P, Bruin E&P Non-Op Holdings LLC
