1ST CONSTITUTION BANCORP,New Jersey Community Bank
8point3 Energy Partners LP,Capital Dynamics Inc.
AB INTERNATIONAL GROUP CORP,KryptoKiosk Limited
Acology Inc,Mark Haibach
Addus HomeCare Corp,Ambercare Corporation
ADESTO TECHNOLOGIES Corp,
ADM ENDEAVORS INC,
Aedan Financial Corp,Aedan Inc.
Agape ATP Corp,Unreserved Sdn. Bhd.
AIR T INC,Worthington Aviation Parts Inc.
AIS Holdings Group Inc,TetrastaR Co. Ltd.
AKCEA THERAPEUTICS INC,Ionis Pharmaceuticals Inc.
Alliance Holdings GP L P,
ALLIANCE RESOURCE PARTNERS LP,
Alliqua BioMedical Inc,Celularity Inc.
ALMOST FAMILY INC,LHC Group Inc.
AMEDISYS INC,
American Retail Group Inc,Simex
AMERICAN SUPERCONDUCTOR CORP DE,ASC Devens LLC
Ameris Bancorp,Atlantic Coast Financial Corporation
Amesite Inc,Lola One Acquisition Corporation
AMN HEALTHCARE SERVICES INC,
Amneal Pharmaceuticals Inc,Amneal Holdings
ANALOGIC CORP,
Anutra Corp,ASG
Anvia Holdings Corp,Global Institute of Vocational Education Pty Ltd
Archrock Inc,
Archrock Partners L P,
ARMO BioSciences Inc,
ASGN Inc,ECS Federal LLC
Ashford Hospitality Prime Inc,Ritz-Carlton Sarasota
ASSURANT INC,TWG
Astro Aerospace Ltd,
AT T INC,Time Warner Inc.
ATLANTIC ACQUISITION INC,Ameris Bancorp
Atlantic Coast Financial CORP,
Attis Industries Inc,
Avant Diagnostics Inc,
AveXis Inc,Novartis AG
B4MC GOLD MINES INC,RocketFuel
BAKKEN RESOURCES INC,
BEAR STATE FINANCIAL INC,Arvest Bank
Bison Merger Sub I LLC,Fairmount Santrol
BLACK CREEK INDUSTRIAL REIT IV Inc,BPG OCOEE 1 LLC
BLACKHAWK NETWORK HOLDINGS INC,
Blue Buffalo Pet Products Inc,
BlueLinx Holdings Inc,BlueLinx Corporation
Bravo Brio Restaurant Group Inc,
BYLINE BANCORP INC,First Evanston Bancorp
CADUS CORP,
CALLIDUS SOFTWARE INC,
CALMARE THERAPEUTICS Inc,
CANCER GENETICS INC,
CAPAX INC,Reborn Global Holdings Inc.
Carbon Natural Gas Co,Carbon California
Carsmartt Inc,Mining Boys Inc.
Cartesian Inc,
CB Financial Services Inc,First West Virginia Bancorp Inc.
CECO ENVIRONMENTAL CORP,
Charah Solutions Inc,
CHARLES RIVER LABORATORIES INTERNATIONAL INC,ACP Mountain Holdings Inc.
CHICAGO BRIDGE IRON CO N V,McDermott Bidco
China Commercial Credit Inc,
CHRISTOPHER BANKS CORP,
Civeo Corp,Noralta
CLIC TECHNOLOGY INC,CTI
CLOROX CO DE,
CLS Holdings USA Inc,Alternative Solutions LLC
COGENTIX MEDICAL INC DE,Camden Merger Sub Inc.
CommerceHub Inc,
CONNECTURE INC,
Cord Blood America Inc,California Cryobank Stem Cell Services LLC
Covia Holdings Corp,HPQ Co
CRAWFORD CO,
CROWN HOLDINGS INC,Signode Industrial Group Holdings
CRYO CELL INTERNATIONAL INC,Cord:Use Cord Blood Bank Inc.
CSRA Inc,
CUBIC CORP DE,Cubic Global Defens Inc.
CX Network Group Inc,Ding King Training Institute Inc.
Daseke Inc,
Del Frisco s Restaurant Group Inc,RCP Barteca Corp.
Delanco Bancorp Inc,First Bank
Delta International Oil Gas Inc,
Denali Therapeutics Inc,
DHI GROUP INC,
