Aclaris Therapeutics Inc, Allergan Sales LLC
ACURA PHARMACEUTICALS INC, 
ADDVANTAGE TECHNOLOGIES GROUP INC, David Chymiak LLC
ADOBE INC, Marketo Inc
Adtalem Global Education Inc, U.S. Education Holdings LLC
Advanced Emissions Solutions Inc, Energy Capital Partners
Adveco Group Inc,
AEI INCOME GROWTH FUND 25 LLC, BT Canton Associates LLC
AEI NET LEASE INCOME GROWTH FUND XX LIMITED PARTNERSHIP, L.A.E. Properties Inc
AEROCENTURY CORP, 
AETNA INC PA, CVS Health, Hudson Merger Sub Corp
AIR INDUSTRIES GROUP, CPI Aerostructures Inc.
AIR T INC, Omni Air International Holdings Inc, Omni Aviation Leasing Holdings LLC, T7 Aviation Leasing Holdings LLC
Akebia Therapeutics Inc, Keryx Biopharmaceuticals Inc, Alpha Therapeutics Merger Sub Inc
Alexander Baldwin Inc,
ALLIED MOTION TECHNOLOGIES INC,
Altair Engineering Inc, Datawatch Corporation, Dallas Merger Sub Inc
Amazing Energy Oil Gas Co, Wyatt
AMEDICA Corp, 
American Railcar Industries Inc, 
AMMO INC, SW Kenetics Inc
Amtrust Financial Services Inc, 
ANTILIA GROUP CORP, 
Apollo Endosurgery Inc, 
AquaVenture Holdings Ltd, AUC Acquisition Holdings
Aravive Inc, Versartis Inc, Velo Merger Sub Inc, Aravive Biologics Inc
Atlas Resources Public 18 2009 B L P, 
Atlas Resources Public 18 2009 C L P,
ATN International Inc, 
AUTODESK INC, PlanGrid
AV Homes Inc, Taylor Morrison
Axos Financial Inc, Nationwide Bank
B G Foods Inc,
B Riley Financial Inc, B.R. Acquisition Ltd, magicJack VocalTec Ltd
Babcock Wilcox Enterprises Inc, Drr 
Bakhu Holdings Corp, CSH
BGC Partners Inc,
Big Time Holdings Inc, Turner Wright Ltd
BIOHITECH GLOBAL INC, Entsorga USA Inc
BIOTELEMETRY INC, ActiveCare Inc
BIOTIME INC, AgeX Therapeutics Inc
BIOVIE INC, PharmaIN Corporation
Blue Star Foods Corp, John Keeler & Co. Inc, d/b/a Blue Star Foods, Blue Star Acquisition Corp.
BOK FINANCIAL CORP ET AL, CoBiz Financial Inc
BOYD GAMING CORP, 
BP Midstream Partners LP,
Broadcom Inc,
BROOKS AUTOMATION INC, Genewiz
Business First Bancshares Inc, Richland State Bancorp
CA INC,
CABOT MICROELECTRONICS CORP,
CAFEPRESS INC, Snapfish LLC
CALERES INC, 
CAMBIUM LEARNING GROUP INC,
Cannae Holdings Inc, Cannae Holdings Inc
CAPITAL PROPERTIES INC RI, Steeple Street RI LLC
Capri Holdings Ltd, Gianni Versace S.p.A.
CapStar Financial Holdings Inc, 
CatchMark Timber Trust Inc, Forest Investment Associates L.P.
CECO ENVIRONMENTAL CORP, NGK SPARK PLUG CO.
Centric Brands Inc,
CHART INDUSTRIES INC,
CHEMBIO DIAGNOSTICS INC,
CHESAPEAKE ENERGY CORP,EAP Ohio LLC
Cigna Holding Co,
CIMPRESS N V,Build A Sign LLC
Citizens Community Bancorp Inc,
CITY HOLDING CO,United Bank
CNO Financial Group Inc,
Coastway Bancorp Inc,HarborOne Bancorp Inc, Massachusetts Acquisitions LLC
COBIZ FINANCIAL INC,
Coeur Mining Inc,Northern Empire Resources Corp
COMCAST CORP,Sky plc
COMMERCIAL METALS CO,GNA Financing Inc.
Community Choice Financial Inc,
CONAGRA BRANDS INC,Pinnacle Foods
CONVERGYS CORP,
CorEnergy Infrastructure Trust Inc,Zenith
Corium International Inc,
Corporate Capital Trust Inc,FS KKR Capital Corp
Corporate Property Associates 17 Global INC,
Cosmos Group Holdings Inc,
Cosmos Holdings Inc,Cosmofarm Ltd
Coupa Software Inc,
CPI AEROSTRUCTURES INC,
CRAFT BREW ALLIANCE INC,Cisco Brewers Inc
CREATIVE REALITIES INC,Christie Digital Systems Inc
